source_catalog,source_schema,source_table,source_column_name,source_field_type,target_catalog,target_schema,target_table,target_column_name,partition_column,cast_type,struct_fields
dev_mayoral,bronze_uc_{env},country,Country,string,dev_mayoral,silver_uc_{env},country,Country,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},country,Citizens,string,dev_mayoral,silver_uc_{env},country,Citizens,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},country,Continent,string,dev_mayoral,silver_uc_{env},country,Continent,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},country,Oceans,string,dev_mayoral,silver_uc_{env},country,Oceans,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},country,country_code,string,dev_mayoral,silver_uc_{env},country,country_code,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},currency,country,string,dev_mayoral,silver_uc_{env},currency,country,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},currency,currency,string,dev_mayoral,silver_uc_{env},currency,currency,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},currency,value,string,dev_mayoral,silver_uc_{env},currency,value,ExtractedAt,int,
dev_mayoral,bronze_uc_{env},towns,country,string,dev_mayoral,silver_uc_{env},towns,country,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},towns,town,string,dev_mayoral,silver_uc_{env},towns,town,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},towns,cod_town,string,dev_mayoral,silver_uc_{env},towns,cod_town,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},books,book_id,int,dev_mayoral,silver_uc_{env},books,book_id,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},books,title,string,dev_mayoral,silver_uc_{env},books,title,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},books,author,string,dev_mayoral,silver_uc_{env},books,author,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},books,category,string,dev_mayoral,silver_uc_{env},books,category,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},books,price,string,dev_mayoral,silver_uc_{env},books,price,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},customers,customer_id,int,dev_mayoral,silver_uc_{env},customers,customer_id,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},customers,email,string,dev_mayoral,silver_uc_{env},customers,email,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},customers,profile,json,dev_mayoral,silver_uc_{env},customers,profile,ExtractedAt,json_fields,"first_name:STRING,last_name:STRING,gender:STRING,address:STRUCT<street:STRING,city:STRING,country:STRING>"
dev_mayoral,bronze_uc_{env},customers,updated,timestamp,dev_mayoral,silver_uc_{env},customers,updated,ExtractedAt,timestamp,
dev_mayoral,bronze_uc_{env},customers,iso_code,string,dev_mayoral,silver_uc_{env},customers,iso_code,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},orders,order_id,int,dev_mayoral,silver_uc_{env},orders,order_id,ExtractedAt,int,
dev_mayoral,bronze_uc_{env},orders,order_timestamp,timestamp,dev_mayoral,silver_uc_{env},orders,order_timestamp,ExtractedAt,timestamp,
dev_mayoral,bronze_uc_{env},orders,customer_id,int,dev_mayoral,silver_uc_{env},orders,customer_id,ExtractedAt,string,
dev_mayoral,bronze_uc_{env},orders,quantity,int,dev_mayoral,silver_uc_{env},orders,quantity,ExtractedAt,int,
dev_mayoral,bronze_uc_{env},orders,total,int,dev_mayoral,silver_uc_{env},orders,total,ExtractedAt,int,
dev_mayoral,bronze_uc_{env},orders,books,array_struct,dev_mayoral,silver_uc_{env},orders,books,ExtractedAt,new_fields,"book_id:STRING,quantity:INT,subtotal:DOUBLE"
